,S1.1,S1.2,S1.3,S1.4,S1.5,S1.6,S1.7,S1.8,S1.9
O1.1,0,0,0,0,0,0,0,0,0
O1.2,0,0,1,0,0,0,0,0,1
O1.3,0,1,0,1,0,1,1,1,0
O1.4,0,1,0,1,0,1,1,1,0
O1.5,0,0,0,0,0,0,0,0,0
O1.6,0,0,0,0,1,0,0,0,1
O1.7,0,0,1,0,0,0,0,0,1
O1.8,1,0,1,0,0,0,0,0,0
O1.9,0,1,0,1,0,1,0,0,0
O1.10,0,1,1,1,0,0,0,0,1
O1.11,0,1,1,1,0,0,0,0,1
O1.12,0,1,1,1,0,0,0,0,1
O1.13,0,1,1,1,0,0,0,0,1
O1.14,0,0,0,0,0,0,0,0,0
O1.15,1,0,1,0,1,0,0,0,1
O1.16,0,0,0,1,0,1,1,1,0
O1.17,0,1,1,1,0,1,1,1,0
O1.18,0,0,1,1,1,0,0,0,1
O1.19,0,0,1,0,0,0,0,0,1
O1.20,0,0,0,0,0,0,0,0,1
